2;Básico;Verb to be;Complete the sentence: "My family __________ very big.";is;are;has;does
2;Básico;Verb to be;Choose the correct alternative: "Nathalie __________ sick today.";is;stays;be;has
2;Básico;Verb to be;Complete the sentence with the correct alternative: "Okay, you are right. I __________ sorry.";am;did;is;be
2;Básico;Verb to be;Choose the correct alternative: "They __________ all very good friends.";are;was;is;do
2;Básico;Verb to be;Complete the sentence: "Today __________ the 19th of January.";is;do;make;are
2;Básico;Verb to be;What is the correct alternative? "I _________ a software developer.";am;do;be;good
2;Básico;Verb to be;Choose the correct form: "She __________ here right now. May I take a message?";is not;are not;is;be
2;Básico;Verb to be;Choose the correct alternative: "__________ she his boss?";Is;Does;Are;How
2;Básico;Verb to be;Complete the sentence: "Adolescents __________ usually very active.";are;is;do;be
2;Básico;Verb to be;Which of the following alternatives is incorrect? "I _________a lawyer.";is;am;m;am  not
2;Básico;Verb to be;Choose the correct alternative: "My father __________ in the kitchen.";is;are;does;doesn't
2;Básico;Verb to be;Choose the correct answer: "The pupils __________ at school today.";aren't;isn't;do;is
2;Básico;Verb to be;Choose the correct alternative: "It __________ Sunday today.";is;aren't;are;does
2;Básico;Verb to be;Choose the correct answer: "__________ careful! It is hot!";Be;Are;Make;Do
2;Básico;Verb to be;Complete the sentence: "__________ you from Scotland?";Are;Does;Do;Be
2;Básico;Verb to be;Choose the incorrect alternative: "His sister __________ seven years old.";are;isn't;is;s
2;Básico;Verb to be;Choose the incorrect alternative: "We __________ children.";don't;aren't;are;re
2;Básico;Verb to be;Choose the best answer: "My grandmother's name __________ Adelaide.";is;be;been;are
2;Básico;Verb to be;Which of the following is verb to be?;is;doesn't;do;can
2;Básico;Verb to be;Which of the following is not verb to be?;can't;isn't;is;are
2;Básico;Verb to be;Complete the sentence with the correct alternatives: "__________ ready for your holidays, Lucy? Yes, __________!";Are you/I'm;You are/I am;Are you/I do;You is/I am
2;Básico;Verb to be;Complete the sentence: "__________ excited about this trip, it's going to be __________!";We're/great;I'm/ terrible;Am I/excellent;Are they/spectacular
2;Básico;Verb to be;Choose the correct alternative: "Where _______________ from?";are you;you;you is;you are
2;Básico;Verb to be;Complete the sentence: "The food there __________ really good but the waiters __________ quite rude.";is/are;are/is;is/is;is/be
2;Básico;Verb to be;|Choose the correct alternative:
Bryan: "__________ Zurich the capital of Switzerland?"
Lucy: "No, __________ Bern."|;Is/it's;Is/its;Is/there is;Is/be
2;Básico;Verb to be;Complete the sentence: "I think __________ a bus driver.";she is;they aren't;she doesn't;they are
2;Básico;Verb to be;Complete the sentence: "This is Ana. __________ my friend.";She's;You're;They're;He's
2;Básico;Verb to be;Choose the correct answer: "I'm from a city called Turin. __________ in Italy.";It's;It has;She's;They're
2;Básico;Verb to be;Complete the sentence: "I'm Cary and this is Thomas. _______________ architects.";We're;He's;I'm;They're
2;Básico;Verb to be;|Choose the correct alternative:           
Mike: "Is she your mom?" 
Sarah: "_______________."                                |;No, she isn't.;Yes, they are.;No, it's my aunt.;No, we aren't.
2;Básico;Verb to be;Complete the sentence: "Billy __________ from the United States.";is;am;be;are
2;Básico;Verb to be;Choose the correct alternative: "Nice car. _______________ yours?";Is it;It is;Is;He is
2;Básico;Verb to be;Choose the correct answer: "I __________ thirty-one years old.";am ;have;is;do
2;Básico;Verb to be;Complete the sentence: "_______________ happy?";Is Paul;Paul is;Paul are;Are Paul
2;Básico;Verb to be;Choose the correct alternative: "_______________ coming to the party?";Are they;They aren't;They are;Do they
2;Básico;Verb to be;Complete the sentence: "Anna _______________ at home at the moment. Please come back later.";is not;is;are not;be
2;Básico;Verb to be;|Choose the correct alternative: 
Cary: "Where's John?" 
James: "_______________ at work."|;He is;He are;Is he;Isn't he
2;Básico;Verb to be;Complete the sentence: "My cousins __________ going downtown tomorrow.";are;is;isn't;can't
2;Básico;Verb to be;Choose the correct alternative: "My sister __________ not a child anymore.";is;are;aren't;isn't
2;Básico;Verb to be;|Complete the sentence: 
Anna: "Are you and Mark cousins?"
Stella: "No, we __________."|;aren't;are;is;isn't
2;Básico;Verb to be;|Choose the correct answer: 
Mark: "__________ this your seat?"
Peter: "Yes, it __________."|;Is/is;Is/isn't;Are/is;Aren't/are
2;Básico;Verb to be;Complete the sentence: "We __________ Brazilian. We are not Portuguese.";are;aren't;is;isn't
2;Básico;Verb to be;|Choose the correct alternative: 
Aimee: "Are you an engineer?"
Paul: "Yes, I __________."|;am;am not;is;are
2;Básico;Verb to be;|Choose the correct answer:
Lisa: "Is your room number 12?"
Mick: "No, it __________. It's number 15."|;isn't;aren't;am not;is
2;Básico;Verb to be;Complete the sentence: "__________ Lulu a dog?";Is;Are;Can;Aren't
2;Básico;Verb to be;Choose the correct alternative: "My dad __________ an astronaut. He's a dentist.";isn't;are;aren't;can't
2;Básico;Verb to be;Choose the correct answer: "__________ you cold?";Are;Can;Is;Isn't
2;Básico;Verb to be;Complete the question: "_______________ tall enough to play on the basketball team?";Is she;Does she;She is;She isn't
2;Básico;Verb to be;|Complete the dialogue:
Carl: "_______________ in South America?"
Bruce: "Yes, _______________."|;Is Brazil/it is;Is Brazil/he is;Brazil is/it is;Is Brazil/is it
2;Básico;Verb to be;|Choose the correct alternative: 
Ann: "Where __________ Tim and Sue?"
Mark: "They __________ at school."|;are/are;is/are;are/is;are/isn't
2;Básico;Verb to be;Choose the correct answer: "The teachers always says good things about my son. He __________ a very good student.";is;are;isn't;aren't
2;Básico;Verb to be;Complete the sentence: "The weather is nice today. It __________ raining.";isn't;aren't;doesn't;don't
2;Básico;Verb to be;Choose the correct alternative: "It __________ 10 o'clock! You __________ going to be late for school!";is/are;are/is;aren't/aren't;aren't/is
2;Básico;Verb to be;|Complete the dialogue: 
Sally: "__________ John rich?"
Bob: "Yes, he __________ very rich."|;Is/is;Are/is;Is/are;Is/isn't
2;Básico;Verb to be;Choose the correct answer: "Don't come in! Your shoes __________ very dirty!";are;aren't;is;isn't
2;Básico;Verb to be;Complete the sentence: "Can you help me, please? This bag __________ very heavy.";is;are;isn't;aren't
2;Básico;Verb to be;|Complete the dialogue:
Sue: "Where __________ Aimee's car?"
Peter: "It __________ in the garage."|;is/is;are/is;is/are;aren't/isn't
2;Básico;Verb to be;|Complete the dialogue:
Mark: "__________ your mom retired?"
Sarah: "No, she __________."|;Is/isn't;Are/isn't;Is/is;Is/aren't
2;Básico;Verb to be;Choose the correct answer: "Take my car. They keys __________ on the table.";are;is;aren't;isn't
2;Básico;Verb to be;Complete the sentence: "Your watch __________ really beautiful. I loved it.";is;isn't;it is;it's
2;Básico;Verb to be;Choose the best answer: "My friend and I __________ dentists. __________ aren't psychologists.";are/We;are/They;am/We;am/You
2;Básico;Verb to be;Complete the sentence: "The Leaning Tower of Pisa is in Italy. _______________ in France.";It isn't;She isn't;Isn't ;Is not
2;Básico;Verb to be;Complete the sentence: "How old _______________? _______________ young?";is your sister/Is she;is your sister/She is;your sister is/Is she;your sister is/She is
2;Básico;Verb to be;Choose the correct alternative: "My neighbor's children __________ very disobedient. They never listen to their parents.";are;aren't;is;isn't
2;Básico;Verb to be;Complete the sentence: "Hello, nice to meet you. These __________ my business partners, James and Alice.";are;is;are not;isn't
2;Básico;Verb to be;Complete the sentence: "My parents love Italian food. Their favorite food __________ ravioli.";is;are;be;aren't
2;Básico;Verb to be;Choose the correct alternative: "Today __________ Thursday, _______________ Friday.";is/it isn't;is/not on;is/no;isn't/are
2;Básico;Verb to be;Complete the sentence: "Thomas and I __________ very good friends. I like him.";are;is;be;aren't
2;Básico;Verb to be;Choose the correct alternative: "Paul and Tracy __________ always late for class.";are;is;being;comes
2;Básico;Verb to be;Complete the sentence: "_______________ raining today. Let's go to the beach.";It isn't;It is;Is it;Is not
2;Básico;Verb to be;|Complete the dialogue:
Waiter: "Good morning sir, __________ ready to order your food?"
William: "Yes, __________, thank you."|;are you/I am;you are/I am;you/am I;you aren't/I am
2;Básico;Verb to be;Complete the sentence: "_______________ time to make some changes in our company.";It is;Its;Its';Is
2;Básico;Verb to be;Complete the sentence: "I like this restaurant. Their prices __________ high but the food __________  very good.";are/is;is/is;are/isn't;aren't/are
2;Básico;Verb to be;Complete the sentence: "Martha and her friends __________ very good architects. Look at their last project, it's wonderful!";are;is;aren't;isn't
2;Básico;Verb to be;Complete the sentence: "Copenhagen __________ the capital of Denmark.";is;it is;it isn't;not
2;Básico;Verb to be;Choose the correct alternative: "Niko and Sofia __________ from Greece." ;are;is;isn't;be
2;Básico;Verb to be;Complete the sentence: "My teacher __________ a very intelligent person. I'm proud of her. ";is;it is;it's;its
2;Básico;Verb to be;Choose the correct alternative: "My neighbors have a beautiful son. _______________ 2 years old.";He is;They are;We are;Its
2;Básico;Verb to be;Complete the sentence: "__________ your friends interested in art?";Are;Is;Do;They are
2;Básico;Verb to be;Complete the sentence: "My husband __________ an engineer, _______________ a software developer.";isn't/he is;it isn't/he is;isn't/is he;is/is
2;Básico;Verb to be;Choose the correct alternative: "_______________ too difficult to learn Chinese?";Is it;It is;It isn't;Its
2;Básico;Verb to be;Complete the sentence: "Pamela and Bryan __________ very good friends. They see each other almost every day.";are;is;aren't;isn't
2;Básico;Verb to be;Choose the correct alternative: "Both my parents __________ brown eyes, but I __________ blue eyes.";have/have;has/have;are/am;is/am
2;Básico;Verb to be;|Complete the dialogue: 
Nancy: "What _______________?"
Bryan: "It __________ a bicycle tool."|;is this/is;this is/is;are these/is;these are/is
2;Básico;Verb to be;Complete the question: "_______________ inside or outside the house?";Are the children;The girls are;He isn't;Is the men
2;Básico;Verb to be;Choose the correct answer: "You don't need a jacket. It __________ cold. It's hot.";isn't;aren't;is;are
2;Básico;Verb to be;Choose the correct alternative: "Jennifer and Tom __________ at the cinema. They're at the park.";aren't;isn't;are;is
2;Básico;Verb to be;Complete the sentence: "My mother __________ a doctor. She's an architect.";isn't;aren't;is;are
2;Básico;Verb to be;Complete the question: "Dinner is ready. __________ you hungry?";Are;Is;Can;Do
2;Básico;Verb to be;|Complete the dialogue:
Paul: "__________ the children home?"
Jess: "No, they __________."|;Are/aren't;Are/isn't;Is/aren't;Can/can't
2;Básico;Verb to be;Choose the correct answer: "Ted and Sam study a lot. They __________ very good students.";are;aren't;is;isn't
2;Básico;Verb to be;Choose the correct alternative: "Shhh! Be quiet! We __________ at a library!";are;aren't;is;isn't
2;Básico;Verb to be;Complete the sentence: "This __________ the magazine I love reading.";is;are;aren't;can
2;Básico;Verb to be;Complete the question: "__________ that your neighbor?";Is;Are;Aren't;Can
2;Básico;Verb to be;|Complete the dialogue:
Sam: "__________ Pat and Kelly on vacation?"
John: "Yes, they __________."|;Are/are;Is/are;Are/is;Can/can
2;Básico;Verb to be;Choose the correct answer: "My English classes __________ so much fun! I love them!";are;is;aren't;isn't
2;Básico;Verb to be;Choose the correct alternative: "My children's teacher __________ very funny! They love her!";is;are;isn't;aren't
2;Básico;Verb to be;Complete the sentence: "John __________ at home and the children __________ playing outside.";is/are;are/is;is/isn't;aren't/isn't
2;Básico;Verb to be;Choose the correct answer: "Your garden __________ beautiful! It's so colorful!";is;are;aren't;can
2;Básico;Verb to be;Choose the correct alternative: "My parents ___________ in Italy. They __________ in Venice.";are/are;is/are;are/is;aren't/are
